GeographyCode,Europe,Africa,Middle East and Asia,The Americas and the Caribbean,Antarctica and Oceania
E01006783,1516,6,22,2,2
E01006784,1325,4,18,0,0
E01006785,1718,34,12,3,2
E01006786,1795,5,15,5,0
E01006787,2187,53,75,13,2
E01006788,1788,6,26,3,2
E01006790,1556,15,12,3,1
E01006791,1620,24,18,12,0
E01006792,1319,16,29,3,1
E01006793,1428,14,41,5,6
E01006794,1521,15,36,16,5
E01006795,1370,1,24,10,2
E01006796,1461,6,103,19,2
E01006797,1469,7,11,7,5
E01006798,1367,7,27,9,0
E01006799,1779,11,19,8,4
E01006800,1323,14,55,7,2
E01006801,1321,4,26,3,1
E01032505,1254,4,53,4,2
E01032506,1349,11,35,4,4
E01032507,1496,11,14,14,4
E01032508,1602,22,93,4,2
E01032509,1385,18,27,3,1
E01032510,1752,18,33,5,1
E01032511,1355,11,9,1,2
E01033747,970,16,45,9,3
E01033748,1157,40,63,15,2
E01033749,1023,33,73,24,0
E01033750,1235,53,129,26,5
E01033751,1674,64,99,35,1
E01033752,1024,19,114,33,6
E01033753,869,24,129,22,7
E01033754,1262,37,112,32,9
E01033755,952,22,85,14,9
E01033756,886,31,221,42,5
E01033757,731,39,223,29,3
E01033758,1107,50,557,14,2
E01033759,1097,27,20,1,2
E01033760,1734,37,312,28,4
E01033761,1138,52,138,33,11
E01033762,1570,53,155,10,3
E01033763,1302,68,142,11,4
E01033764,2106,32,49,15,0
E01033765,1277,21,33,17,3
E01033766,1028,12,20,8,7
E01033767,1003,29,29,5,1
E01033768,1016,69,111,21,6
